symbol
RELIANCE.NS
TCS.NS
INFY.NS
HDFCBANK.NS
ICICIBANK.NS
SBIN.NS
AXISBANK.NS
KOTAKBANK.NS
LT.NS
HINDUNILVR.NS
ITC.NS
BHARTIARTL.NS
ASIANPAINT.NS
MARUTI.NS
TMPV.NS
TATASTEEL.NS
JSWSTEEL.NS
HINDALCO.NS
ULTRACEMCO.NS
ADANIENT.NS
ADANIPORTS.NS
POWERGRID.NS
NTPC.NS
ONGC.NS
COALINDIA.NS
BAJFINANCE.NS
BAJAJFINSV.NS
HCLTECH.NS
WIPRO.NS
TECHM.NS
SUNPHARMA.NS
DRREDDY.NS
CIPLA.NS
DIVISLAB.NS
APOLLOHOSP.NS
HEROMOTOCO.NS
EICHERMOT.NS
M&M.NS
GRASIM.NS
BPCL.NS
IOC.NS
HDFCLIFE.NS
SBILIFE.NS
BRITANNIA.NS
NESTLEIND.NS
INDUSINDBK.NS
UPL.NS
TITAN.NS
TATSILV.NS
